ETNT Article-focused template:,,,,,,,,,,,,,,
 https://docs.google.com/a/galvanized.com/document/d/1QOjKruOSN_9ADKvfl7eKSEyVikarBIQLfEV5FMkK8Qk/edit,,,,,,,,,,,,,,
ETNT Main-story focused template: ,,,,,,,,,,,,,,
https://docs.google.com/a/galvanized.com/document/d/1fZy39nrUd_4qbecB1hbckphDuonQLNhmBXoH2A81J6s/edit,,,,,,,,,,,,,,
Promo template: ,,,,,,,,,,,,,,
https://docs.google.com/document/d/1ACfRvnZX1CBly-w_TvvWi2roq97Fbw_o8wMzfx8ut6c/edit,,,,,,,,,,,,,,
DE preview (new issue),,,,,,,,,,,,,,
https://docs.google.com/document/d/1-puBVxbgIcazCEv53y3uOwDdBg5ViDgF8YYktJSQhZE/edit,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,
No.,List,Pickup?,Due,Releases,Day,Design,Content,Promo,Who,Status/ Comments,PTH mailing,PTH subject,PTH screenshot,PTH template
647,ETNT,,Thu,8/14/2016,Sun,Promo TBD,,,DM,,,,,
648,ETNT,,Fri,8/15/2016,Mon,Article,,,DM,,,,,
649,ZBD,,Wed,8/15/2016,Mon,ZBD Main Story,,,JP,,,,,
650,ETNT,,Mon,8/16/2016,Tue,Article,,,DM,,,,,
651,ETNT,,Tue,8/17/2016,Wed,Main Story,,,DM,,,,,
652,ETNT,,Wed,8/18/2016,Thu,Article,,,DM,,,,,
653,ETNT,,Thu,8/19/2016,Fri,Article,,,DM,,,,,
654,ETNT,,Thu,8/20/2016,Sat,Article,,,DM,,,,,
655,ETNT,,Thu,8/21/2016,Sun,Promo TBD,,,DM,,,,,
656,ETNT,,Fri,8/22/2016,Mon,Article,,,DM,,,,,
657,ZBD,,Wed,8/22/2016,Mon,ZBD Main Story,,,JP,,,,,
658,ETNT,,Mon,8/23/2016,Tue,Main Story,,,DM,,,,,
659,ETNT,,Tue,8/24/2016,Wed,Article,,,DM,,,,,
660,ETNT,,Wed,8/25/2016,Thu,Article,,,DM,,,,,
661,ETNT,,Thu,8/26/2016,Fri,Article,,,DM,,,,,
662,ETNT,,Thu,8/27/2016,Sat,Article,,,DM,,,,,
663,ETNT,,Thu,8/28/2016,Sun,Promo TBD,,,DM,,,,,
664,ETNT,,Fri,8/29/2016,Mon,Main Story,,,DM,,,,,
665,ZBD,,Wed,8/29/2016,Mon,ZBD Main Story,,,JP,,,,,
666,ETNT,,Mon,8/30/2016,Tue,Article,,,DM,,,,,
667,ETNT,,Tue,8/31/2016,Wed,Article,,,DM,,,,,
668,ETNT,,Wed,9/1/2016,Thu,Article,,,DM,,,,,
669,ETNT,,Wed,9/2/2016,Fri,Article,,,DM,Moved for Labor Day,,,,
670,ETNT,,Thu,9/3/2016,Sat,Main Story,,,DM,,,,,
671,ETNT,,Thu,9/4/2016,Sun,Promo TBD,,,DM,,,,,
672,ETNT,,Thu,9/5/2016,Mon,Article,,,DM,Moved for Labor Day,,,,
673,ZBD,,Wed,9/5/2016,Mon,ZBD Main Story,,,JP,,,,,
674,ETNT,,Fri,9/6/2016,Tue,Article,,,DM,Holiday - Labor Day,,,,
675,ETNT,,Tue,9/7/2016,Wed,Article,,,DM,,,,,
676,ETNT,,Wed,9/8/2016,Thu,Article,,,DM,,,,,
677,ETNT,,Thu,9/9/2016,Fri,Main Story,,,DM,,,,,
678,ETNT,,Thu,9/10/2016,Sat,Article,,,DM,,,,,
679,ETNT,,Thu,9/11/2016,Sun,Promo TBD,,,DM,,,,,
680,ETNT,,Fri,9/12/2016,Mon,Article,,,DM,,,,,
681,ZBD,,Wed,9/12/2016,Mon,ZBD Main Story,,,JP,,,,,
682,ETNT,,Mon,9/13/2016,Tue,Article,,,DM,,,,,
