ETNT Article-focused template:,,,,,,,,,,
 https://docs.google.com/a/galvanized.com/document/d/1QOjKruOSN_9ADKvfl7eKSEyVikarBIQLfEV5FMkK8Qk/edit,,,,,,,,,,
ETNT Main-story focused template: ,,,,,,,,,,
https://docs.google.com/a/galvanized.com/document/d/1fZy39nrUd_4qbecB1hbckphDuonQLNhmBXoH2A81J6s/edit,,,,,,,,,,
Promo template: ,,,,,,,,,,
https://docs.google.com/document/d/1ACfRvnZX1CBly-w_TvvWi2roq97Fbw_o8wMzfx8ut6c/edit,,,,,,,,,,
DE preview (new issue),,,,,,,,,,
https://docs.google.com/document/d/1-puBVxbgIcazCEv53y3uOwDdBg5ViDgF8YYktJSQhZE/edit,,,,,,,,,,
NOTES,,,,,,,,,,
No.,List,Pickup?,Due,Releases,Day,Design,Content,Promo,Who,Status/ Comments
447,ETNT,,Mon,3/1/2016,Tue,Main Story,supermarketswaps,teacleanse,DM,
448,ETNT,,Tue,3/2/2016,Wed,Article,applecidervinegar,zerobelly.com,DM,
449,ETNT,,Wed,3/3/2016,Thu,Article,worstfiberfoods,2015book,DM,
450,ETNT,,Thu,3/4/2016,Fri,Article,secretmenuitems,zbapp,DM,
451,ETNT,,Thu,3/5/2016,Sat,Article,weightlossquestionsdrink,zbsmoothies,DM,
452,ETNT,,Thu,3/6/2016,Sun,Promo TBD,teacleanseww,n/a,JP,
453,ZBD,,Fri,3/7/2016,Mon,Main Story,metabolismmistakes,etntabs,DM,
454,ETNT,,Wed,3/7/2016,Mon,ZBD Main Story,bestsmoothies8,n/a,JP,
455,ETNT,,Mon,3/8/2016,Tue,Article,sleepdiet,etntde,DM,
456,ETNT,,Tue,3/9/2016,Wed,Article,restaurantsalads,teaspot,DM,
457,ETNT,,Wed,3/10/2016,Thu,Article,lowcarbfruitsveggies,zbcook,DM,
458,ETNT,,Thu,3/11/2016,Fri,Article,worsthealthysnacks,ctnteasy,DM,
459,ETNT,,Tue,3/11/2016,Fri,Promo,greenteapaperonly,n/a,JP,
460,ETNT,,Thu,3/12/2016,Sat,Main Story,chipotleranked,zbapp,DM,
461,ETNT,,Thu,3/13/2016,Sun,Promo TBD,zbappnewimp,n/a,JP,
462,ZBD,,Fri,3/14/2016,Mon,Article,stretchmarks,greentea,DM,
463,ETNT,,Wed,3/14/2016,Mon,ZBD Main Story,besttips50,n/a,JP,
464,ETNT,,Mon,3/15/2016,Tue,Article,worsttacos,zbsmoothies,DM,
465,ETNT,,Tue,3/16/2016,Wed,Article,snackguide,etntexpecting,DM,
466,ZBD,,Tue,3/16/2016,Wed,Promo TBD,zbsmoothiesgma,n/a,JP,
467,ETNT,,Wed,3/17/2016,Thu,Article,successfulpeoplefoods,etntabs,DM,Promo may need to be a split test.
468,ETNT,,Thu,3/18/2016,Fri,Main Story,heatlhiestfats,teacleanse,DM,
469,ETNT,,Thu,3/19/2016,Sat,Article,healthyboozebenefits,ctnteasy,DM,
470,ETNT,,Thu,3/20/2016,Sun,Promo TBD,etntabs,n/a,JP,
471,ZBD,,Fri,3/21/2016,Mon,Article,littlethingsmakingyoufat,zbapp,DM,
472,ETNT,,Wed,3/21/2016,Mon,ZBD Main Story,,n/a,JP,
473,ETNT,,Mon,3/22/2016,Tue,Article,bestspringfoods,zbsmoothies,DM,
474,ETNT,,Tue,3/23/2016,Wed,Article,weightlossinfluencers,zbcook,DM,
475,ETNT,,Wed,3/24/2016,Thu,Main Story,proteinpowders,greentea,DM,
476,ETNT,,Wed,3/25/2016,Fri,Article,kendalljennereats,etntabs,DM,Moved up schedulewise
477,ETNT,,Thu,3/26/2016,Sat,Article,aldismoneytips,teacleanse,DM,
478,ETNT,,Wed,3/27/2016,Sun,Promo TBD,ctnteasy,n/a,JP,Moved up schedulewise
479,ZBD,,Thu,3/28/2016,Mon,Article,overeatingandfat,ctnteasy,DM,Moved up schedulewise
480,ETNT,,Tue,3/28/2016,Mon,ZBD Main Story,dinners4,n/a,JP,Moved up schedulewise
481,ETNT,,Mon,3/29/2016,Tue,Article,walmartswaps,zbsmoothies,DM,
482,ETNT,,,3/29/2016,Tue,Promo TBD,etntdespring,n/a,JP,
483,ETNT,,Tue,3/30/2016,Wed,Main Story,nutritionistfastfood,etntde,DM,
484,ETNT,,Wed,3/31/2016,Thu,Article,bikinibodyfoods,ctntskinny,DM,
485,ETNT,,Thu,4/1/2016,Fri,Article,bestworstcelebs,greentea,DM,
